timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.film eff.perm.water.film eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.connected.upper.bound eff.perm.water.connected.upper.bound eff.perm.oil.connected.lower.bound eff.perm.water.connected.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected cap.pressure cap.pressure.connected pressure.drop Ca M eff.pressure
100000 0.083324 906.93 2.1482 817.9 1.1805 749.75 0.098366 831.36 0.179 906.85 -0.48155 831.29 -0.040124 -4.0453e-06 2.5546 0.0081639 0.0090638 9.8197e-07 0.00016189 1 0.0011
100000 0.18534 767.93 3.0476 685.31 0.23431 558.29 0.043427 625.6 0.56485 766.88 1.2523 624.74 0.2321 8.0097e-05 0.18237 0.0066408 0.006639 1.1715e-06 0.0001638 1 0.0012971
100000 0.28837 613.66 26.772 541.6 20.709 385.42 5.9718 436.7 7.7202 611.55 25.545 435.2 7.3664 0.00094921 0.003916 0.0054287 0.0054353 1.3327e-06 0.00015478 1 0.0015614
100000 0.39017 312.4 67.467 267.38 57.419 163.06 22.403 190.51 26.323 306.42 65.318 186.87 25.485 0.017968 0.015421 0.0052 0.005211 1.722e-06 0.00011863 1 0.0026325
100000 0.49173 211.6 104.42 168.82 87.016 85.808 42.789 107.55 51.349 210.23 102.55 106.85 50.428 0.00079762 0.0061129 0.004806 0.0048139 1.4516e-06 8.3195e-05 1 0.0031643
100000 0.59549 0.34894 169.33 -11.071 155.9 -4.4783 92.838 0.14115 100.83 0.16947 168.07 0.068552 100.08 0.0015163 0.00097387 0.0047088 0.0046978 3.4896e-06 0.00010738 1 0.0058934
100000 0.69734 -0.22306 323.28 -15.437 302.62 -4.6722 211.03 -0.06751 225.44 4.6077 322.15 1.3945 224.65 -2.2704 0.00050871 0.0045846 0.0042792 1.6249e-06 9.5196e-05 1 0.0030954
