sw krw krn krwf krnf vw vn force pw pn wet peff
0.27383221 0.11088178 2.2207416 0.099287944 2.0325529 1.165885e-05 0.0002335036 1e-05 0.32761988 0.33537215 713429.97 0.42888572
0.27381704 0.1159911 2.212047 0.10430222 2.0245404 1.2196079e-05 0.00023258939 1e-05 0.32762333 0.33537033 713590.15 0.42954623
0.27380551 0.11112906 2.2144422 0.10083438 2.0277413 1.1684851e-05 0.00023284124 1e-05 0.32762107 0.33537075 713712.98 0.43000187
0.27380325 0.11442317 2.2043707 0.10416243 2.0178757 1.2031216e-05 0.00023178225 1e-05 0.32761484 0.33537266 713799.9 0.43125869
0.27381729 0.13150445 2.1981746 0.12059937 2.010492 1.3827255e-05 0.00023113075 1e-05 0.32760262 0.33537656 713868.44 0.42924367
0.27380564 0.1188854 2.2058008 0.10838199 2.0190608 1.2500405e-05 0.00023193262 1e-05 0.32760352 0.33537599 713949.13 0.43016558
0.27380162 0.11405283 2.2122539 0.10368054 2.0262141 1.1992276e-05 0.00023261114 1e-05 0.32760334 0.33537578 714044.21 0.42986593
0.27379135 0.11238144 2.2157133 0.1020524 2.0299872 1.1816535e-05 0.00023297488 1e-05 0.32760291 0.33537567 714145.59 0.42953579
0.27378871 0.11157234 2.2178683 0.10118817 2.032808 1.1731461e-05 0.00023320147 1e-05 0.32760264 0.33537555 714249.84 0.42928762
0.27377844 0.11116992 2.2198736 0.10081593 2.0351306 1.1689148e-05 0.00023341232 1e-05 0.32760249 0.33537538 714354.87 0.42899243
0.27377154 0.11123899 2.2224571 0.10077505 2.038354 1.169641e-05 0.00023368397 1e-05 0.32760286 0.335375 714464.07 0.42850481
0.27376878 0.10889117 2.2264785 0.098159726 2.0428409 1.1449544e-05 0.00023410681 1e-05 0.32760194 0.33537497 714546.09 0.42819773
0.27376903 0.10496849 2.2359619 0.094361887 2.0531342 1.1037088e-05 0.00023510396 1e-05 0.32760483 0.33537329 714603.93 0.42718058
0.27376929 0.10943718 2.2290064 0.098098953 2.047314 1.1506956e-05 0.00023437261 1e-05 0.32760454 0.33537219 714641.69 0.42763485
0.27375412 0.11079854 2.2247685 0.099242797 2.0436492 1.1650098e-05 0.00023392701 1e-05 0.32760342 0.33537197 714770.48 0.42816155
0.27375299 0.11122769 2.222462 0.099974983 2.0418631 1.1695221e-05 0.00023368449 1e-05 0.32760303 0.33537186 714894.57 0.42850598
0.27374672 0.11164932 2.2218407 0.10071437 2.04201 1.1739555e-05 0.00023361916 1e-05 0.32760291 0.33537175 714997.91 0.42854265
0.27373644 0.11181138 2.222461 0.1013834 2.0431505 1.1756595e-05 0.00023368438 1e-05 0.32760295 0.33537163 715083.24 0.42839902
0.27373707 0.11233709 2.2237455 0.1020893 2.0449816 1.1811872e-05 0.00023381944 1e-05 0.32760321 0.33537141 715158.48 0.42806706
0.27373456 0.11181011 2.2202143 0.10165679 2.0419131 1.1756461e-05 0.00023344815 1e-05 0.32760164 0.33537181 715198.9 0.42881198
0.27372679 0.11192891 2.2240837 0.10199313 2.0458521 1.1768952e-05 0.00023385501 1e-05 0.32760189 0.33537161 715256.39 0.42807988
0.27372228 0.11215322 2.2240953 0.1022151 2.0462333 1.1792539e-05 0.00023385622 1e-05 0.32760171 0.33537155 715312.06 0.42803666
0.27372353 0.11246792 2.2242268 0.1026249 2.0465515 1.1825628e-05 0.00023387005 1e-05 0.32760146 0.33537151 715366.23 0.42795493
