timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound cap.pressure cap.pressure.connected Ca eff.pressure
100000 0.00021397 590.97 -2.4654e-08 588.92 -7.7892e-07 -0.0080416 0.0028793 590.5 -2.4654e-08 0.003968 0.0017472 0.00010094 0.37794
100000 0.083727 439.07 -0.083889 432.34 0.0019443 -0.0051977 -1.3488 372.55 -0.082514 0.096662 0.079775 0.00010534 0.46718
100000 0.19122 283.29 0.54363 272.72 0.027773 -0.057622 1.4589 228.09 0.52318 0.084277 0.074925 0.00010215 0.63267
100000 0.29641 153.91 4.6787 141.64 0.11518 0.056764 11.021 118.42 4.5202 0.077672 0.071241 0.00010328 0.95251
100000 0.39616 103.22 15.39 83.289 7.1735 1.1112 2.9384 77.48 14.824 0.072412 0.06829 0.00012422 1.0649
100000 0.499 52.36 41.491 23.521 33.672 10.616 0.47114 37.775 39.345 0.066101 0.058389 0.00011893 1.1905
100000 0.59822 9.6101 83.752 2.1427 73.664 5.2834 0.2996 6.1996 80.03 0.060142 0.057476 8.735e-05 1.3629
100000 0.70189 3.1692 160.72 0.49867 150.33 -1.7249 0.13265 1.7556 152.18 0.056374 0.059103 0.00014618 0.93233
