sw krw krn krwf krnf vw vn force pw pn wet peff
0.00094453725 -0.00061785887 0.56051215 0.00016537326 0.50217827 -6.9731366e-08 6.3259233e-05 1e-05 0.31538903 0.33420152 1679293.6 1.7860514
0.00092972 -0.00059766202 0.56047942 0.00015742975 0.5013665 -6.7451955e-08 6.3255539e-05 1e-05 0.31567629 0.33420615 1679366.4 1.7860914
0.00091163792 -0.00060566871 0.56046623 0.00018840064 0.49813259 -6.8355588e-08 6.3254049e-05 1e-05 0.31580033 0.33421075 1679434.9 1.786159
0.00089481155 -0.00058790737 0.56045712 0.00015464062 0.49928236 -6.6351048e-08 6.3253021e-05 1e-05 0.31599939 0.3342147 1679498.4 1.7861314
0.00087924087 -0.00058751014 0.56048182 0.00012490515 0.50214968 -6.6306218e-08 6.3255809e-05 1e-05 0.3159528 0.33421884 1679556.9 1.7860514
0.0008636702 -0.00048140191 0.56035318 0.00011192131 0.5029731 -5.4330875e-08 6.3241291e-05 1e-05 0.3158706 0.33422264 1679612.5 1.7861233
0.00084709496 -0.00045224503 0.56030445 8.0542986e-05 0.50399387 -5.1040238e-08 6.3235791e-05 1e-05 0.31593035 0.33422616 1679665 1.7861857
0.00083478911 -0.00037272239 0.56021467 9.3982928e-05 0.50080855 -4.2065336e-08 6.3225659e-05 1e-05 0.31606939 0.33422932 1679715 1.7862184
0.00081821387 -0.00032472217 0.56019752 7.6298999e-05 0.50206904 -3.6648046e-08 6.3223723e-05 1e-05 0.31617302 0.33423241 1679762.5 1.78612
0.00080113636 -0.00028314961 0.56001387 2.7955799e-05 0.50266253 -3.1956179e-08 6.3202997e-05 1e-05 0.31628284 0.33423551 1679806.8 1.7865734
0.00079209532 -0.00025931084 0.55986101 2.7606177e-05 0.50235079 -2.9265743e-08 6.3185745e-05 1e-05 0.3163798 0.33423825 1679850.9 1.7869853
0.00078230086 -0.00028961435 0.55986358 5.854504e-05 0.5010984 -3.2685788e-08 6.3186035e-05 1e-05 0.31659317 0.33424069 1679893.6 1.7870738
0.00076974387 -0.00027118709 0.55980696 5.4117343e-05 0.49918701 -3.0606093e-08 6.3179645e-05 1e-05 0.31674174 0.33424304 1679934.6 1.7871958
0.00075994941 -0.00031307599 0.55981527 4.6491629e-05 0.49819896 -3.5333661e-08 6.3180583e-05 1e-05 0.31703241 0.33424508 1679974.2 1.7873031
0.00074940153 -0.00031590137 0.55980728 3.504298e-05 0.49909044 -3.5652533e-08 6.3179681e-05 1e-05 0.31695084 0.33424691 1680012.3 1.7873376
0.00074262076 -0.00023211831 0.55970383 6.3458295e-05 0.49539382 -2.6196802e-08 6.3168005e-05 1e-05 0.31726603 0.33424894 1680049.4 1.7874005
0.00073006376 -0.00016814177 0.55960721 6.1873399e-05 0.49783359 -1.8976429e-08 6.3157101e-05 1e-05 0.31743963 0.33425062 1680085.4 1.7875048
0.00071951588 -0.00013953542 0.559533 6.8829104e-05 0.49312984 -1.5747925e-08 6.3148726e-05 1e-05 0.31748105 0.33425207 1680120.7 1.7876505
0.00071198168 -0.00017560337 0.55952569 3.9920339e-05 0.4937739 -1.9818543e-08 6.3147901e-05 1e-05 0.31784747 0.33425356 1680155.4 1.7877891
0.00070093153 -0.00027630808 0.55957145 5.7407324e-05 0.49418765 -3.1184047e-08 6.3153065e-05 1e-05 0.31836011 0.33425505 1680189.6 1.7879648
0.00069239277 -0.00028244605 0.5595337 -4.3213922e-07 0.49406451 -3.1876776e-08 6.3148805e-05 1e-05 0.31887541 0.33425652 1680223.4 1.7881051
0.00068536085 -0.00024057444 0.55943431 -4.4081335e-05 0.49366514 -2.7151159e-08 6.3137588e-05 1e-05 0.3194007 0.33425756 1680256.9 1.788289
0.00067832894 -0.00024292417 0.55935827 -2.2799774e-05 0.49600403 -2.7416349e-08 6.3129006e-05 1e-05 0.31955756 0.33425854 1680290.7 1.7885397
0.00067104588 -0.00033277646 0.5593604 -5.1268726e-05 0.49531514 -3.7557052e-08 6.3129246e-05 1e-05 0.32013006 0.33425961 1680324.1 1.7888204
0.0006617537 -0.00032778474 0.55926 -6.9784724e-05 0.49419059 -3.6993687e-08 6.3117915e-05 1e-05 0.32034482 0.33426038 1680358.3 1.7891257
0.00065497292 -0.00038378966 0.55927229 -7.8391884e-05 0.49408804 -4.3314385e-08 6.3119302e-05 1e-05 0.32063259 0.33426126 1680392.2 1.7892657
