timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.film eff.perm.water.film eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.connected.upper.bound eff.perm.water.connected.upper.bound eff.perm.oil.connected.lower.bound eff.perm.water.connected.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected cap.pressure cap.pressure.connected pressure.drop Ca M eff.pressure
100000 0.00021397 2.6459 -5.1577e-07 2.6438 -5.1577e-07 2.6432 -1.1036e-10 2.6453 -1.1036e-10 2.6367 -1.6295e-05 2.6361 -3.4866e-09 -3.5996e-05 1.2889e-05 0.003968 0.0017472 1.3166e-05 0.00010094 1 0.37794
100000 0.083727 2.145 -0.0044849 1.82 -0.0044114 1.6676 -0.00036935 1.9654 -0.00037551 2.1121 0.00010395 1.9352 8.7034e-06 -2.3266e-05 -0.0060376 0.096662 0.079775 1.6984e-05 0.00010534 1 0.46718
100000 0.19122 1.5679 0.012726 1.2624 0.012247 1.021 0.0023419 1.2681 0.0024334 1.5094 0.00065013 1.2207 0.00012432 -0.00025793 0.0065304 0.084277 0.074925 2.2303e-05 0.00010215 1 0.63267
100000 0.29641 0.9792 0.070656 0.75337 0.068262 0.53006 0.020234 0.68896 0.020943 0.90109 0.0017394 0.634 0.00051557 0.00025409 0.049331 0.077672 0.071241 3.395e-05 0.00010328 1 0.95251
100000 0.39616 0.76514 0.1739 0.57436 0.1675 0.34682 0.066356 0.46202 0.068891 0.61742 0.081054 0.37282 0.03211 0.0049738 0.013153 0.072412 0.06829 4.5654e-05 0.00012422 1 1.0649
100000 0.499 0.46781 0.3722 0.33751 0.35295 0.16909 0.17612 0.23438 0.18573 0.21015 0.30205 0.10528 0.15072 0.047518 0.002109 0.066101 0.058389 4.886e-05 0.00011893 1 1.1905
100000 0.59822 0.10707 0.62668 0.06907 0.59884 0.027751 0.35824 0.043017 0.37489 0.023872 0.5512 0.0095914 0.32974 0.02365 0.0013411 0.060142 0.057476 4.1084e-05 8.735e-05 1 1.3629
100000 0.70189 0.047587 1.025 0.026361 0.9705 0.0078586 0.68118 0.014186 0.71944 0.0074878 0.95872 0.0022322 0.67291 -0.0077211 0.00059375 0.056374 0.059103 4.7034e-05 0.00014618 1 0.93233
