timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.film eff.perm.water.film eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.connected.upper.bound eff.perm.water.connected.upper.bound eff.perm.oil.connected.lower.bound eff.perm.water.connected.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected cap.pressure cap.pressure.connected pressure.drop Ca M eff.pressure
100000 0.10707 70.727 -0.098893 56.92 -0.11112 50.825 -0.011898 63.154 -0.010588 70.723 0.00052986 63.151 5.6732e-05 2.3866e-08 -0.10439 0.035213 0.03398 3.8611e-06 0.00018059 1 0.014159
100000 0.2133 59.797 0.39263 48.288 0.32667 37.988 0.069677 47.043 0.083747 59.776 0.17189 47.026 0.036663 1.1141e-06 -0.0095071 0.028046 0.027416 2.138e-06 8.5221e-05 1 0.016614
100000 0.31488 44.571 0.77795 35.412 0.59257 24.261 0.18659 30.536 0.24496 44.47 0.61136 30.468 0.1925 8.545e-07 0.0099848 0.025669 0.025392 3.3123e-06 9.9473e-05 1 0.022051
100000 0.41872 32.586 3.6006 25.246 3.275 14.675 1.3713 18.942 1.5077 32.464 3.4033 18.871 1.4251 -3.073e-05 0.0022113 0.023121 0.022931 4.1875e-06 0.00010035 1 0.027634
100000 0.52485 20.908 9.5542 16.584 8.9196 7.8796 4.6815 9.9342 5.0145 20.731 9.2985 9.8504 4.8804 -0.001551 0.0013629 0.022165 0.022026 4.173e-06 8.4179e-05 1 0.032828
100000 0.62734 13.138 17.652 10.734 16.595 4.0001 10.411 4.8962 11.074 12.248 17.403 4.5643 10.918 0.00060028 0.00067823 0.021367 0.021234 4.9572e-06 0.00010108 1 0.032477
100000 0.72765 3.491 25.929 3.3784 24.547 0.9201 17.861 0.95078 18.867 2.7448 25.723 0.74755 18.718 -0.001456 0.00035136 0.020473 0.019988 4.9042e-06 9.5548e-05 1 0.033991
100000 0.82778 0.71654 40.021 0.94969 38.66 0.16355 32.002 0.1234 33.129 0.10264 39.911 0.017677 33.038 0.26133 4.7663e-05 0.020476 0.019494 5.1328e-06 0.00013847 1 0.024547
