sw krw krn krwf krnf vw vn force pw pn wet peff
0.10681302 -0.024578409 27.353446 -0.037841318 20.652165 -1.0396885e-06 0.001157075 1e-05 0.31911051 0.33501639 1748754.8 0.036591344
0.10681827 -0.026034618 27.357408 -0.037187229 20.653931 -1.1012874e-06 0.0011572426 1e-05 0.31912374 0.33501568 1748657.2 0.036587989
0.10682923 -0.025448139 27.360239 -0.036897524 20.655856 -1.0764788e-06 0.0011573624 1e-05 0.31913645 0.33501495 1748559.1 0.036583415
0.10684189 -0.022802929 27.360008 -0.036483089 20.657294 -9.6458408e-07 0.0011573526 1e-05 0.31914987 0.33501429 1748458 0.036580184
0.1068564 -0.023451197 27.36147 -0.03660375 20.659779 -9.9200643e-07 0.0011574144 1e-05 0.31916181 0.33501361 1748364.6 0.036579095
0.10687014 -0.028049332 27.364351 -0.0370161 20.662536 -1.1865116e-06 0.0011575363 1e-05 0.31917423 0.33501271 1748295.9 0.036581393
0.10687137 -0.021615286 27.397349 -0.035589733 20.687966 -9.1434576e-07 0.0011589321 1e-05 0.31918688 0.33501198 1748169.8 0.036528702
0.1068902 -0.025796167 27.403975 -0.036505412 20.691467 -1.0912007e-06 0.0011592124 1e-05 0.31919774 0.33501127 1748101.9 0.036525439
0.10690178 -0.029997049 27.406613 -0.035687351 20.688535 -1.2689017e-06 0.001159324 1e-05 0.31920854 0.33501067 1748034.2 0.036527524
0.10690935 -0.031016845 27.403152 -0.034883959 20.684852 -1.31204e-06 0.0011591776 1e-05 0.31921824 0.33500993 1747990.9 0.036533503
0.10690348 -0.034171518 27.405017 -0.035670529 20.686838 -1.4454855e-06 0.0011592565 1e-05 0.31922919 0.33500915 1747946.6 0.036535225
0.10690811 -0.036677278 27.402906 -0.035941999 20.685616 -1.5514814e-06 0.0011591672 1e-05 0.31924037 0.33500853 1747888.5 0.036541389
0.10692339 -0.038901204 27.397464 -0.037349451 20.681404 -1.6455554e-06 0.001158937 1e-05 0.31925081 0.33500797 1747829.8 0.036551627
0.10694146 -0.040119309 27.391195 -0.038735763 20.678727 -1.6970823e-06 0.0011586718 1e-05 0.31926098 0.33500744 1747770.2 0.036561634
0.10695797 -0.042541781 27.38654 -0.040566347 20.676527 -1.7995551e-06 0.0011584749 1e-05 0.31927065 0.33500693 1747706.2 0.036571097
0.10696477 -0.046737042 27.388933 -0.044329802 20.683546 -1.9770183e-06 0.0011585762 1e-05 0.31927762 0.33500608 1747632 0.036573507
0.10697542 -0.042761412 27.369879 -0.043084187 20.662387 -1.8088456e-06 0.0011577701 1e-05 0.31927962 0.33500588 1747555.8 0.036593688
