timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound cap.pressure cap.pressure.connected Ca eff.pressure
100000 0.10707 23163 -3.8835 23161 0.020807 8.7532e-06 -38.288 18641 -4.3636 0.035213 0.03398 0.00018059 0.014159
100000 0.2133 17254 30.715 17248 13.446 0.00040862 -3.4869 13933 25.555 0.028046 0.027416 8.5221e-05 0.016614
100000 0.31488 11200 89.841 11174 70.603 0.0003134 3.662 8898.2 68.433 0.025669 0.025392 9.9473e-05 0.022051
100000 0.41872 6947 552.95 6921 522.66 -0.011271 0.81102 5382.2 502.94 0.023121 0.022931 0.00010035 0.027634
100000 0.52485 3643.5 1839.1 3612.8 1789.9 -0.56885 0.49987 2890 1717 0.022165 0.022026 8.4179e-05 0.032828
100000 0.62734 1795.8 4061.5 1674 4004.2 0.22016 0.24875 1467.1 3818.3 0.021367 0.021234 0.00010108 0.032477
100000 0.72765 348.71 6919.7 274.17 6864.9 -0.53401 0.12887 337.46 6550.8 0.020473 0.019988 9.5548e-05 0.033991
100000 0.82778 45.259 12150 6.4834 12117 95.847 0.017481 59.986 11737 0.020476 0.019494 0.00013847 0.024547
