timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound cap.pressure cap.pressure.connected Ca eff.pressure
100000 0.083324 3.1032e+05 66.815 3.103e+05 -14.977 -0.00151 953.57 2.7986e+05 36.717 0.0081639 0.0090638 0.00016189 0.0011
100000 0.18534 2.3352e+05 210.84 2.332e+05 86.637 0.029898 68.074 2.0839e+05 16.21 0.0066408 0.006639 0.0001638 0.0012971
100000 0.28837 1.6301e+05 2881.7 1.6245e+05 2749.6 0.35431 1.4617 1.4386e+05 2229.1 0.0054287 0.0054353 0.00015478 0.0015614
100000 0.39017 71111 9825.7 69752 9512.8 6.7068 5.7562 60864 8362.4 0.0052 0.005211 0.00011863 0.0026325
100000 0.49173 40145 19167 39886 18823 0.29773 2.2818 32029 15972 0.004806 0.0048139 8.3195e-05 0.0031643
100000 0.59549 52.688 37639 25.588 37357 0.56598 0.36352 -1671.6 34654 0.0047088 0.0046978 0.00010738 0.0058934
100000 0.69734 -25.2 84149 520.54 83853 -847.46 0.18988 -1744 78770 0.0045846 0.0042792 9.5196e-05 0.0030954
